gname,pragma,acutal-perf,predicted-perf,acutal-util-LUT,predicted-util-LUT,acutal-util-FF,predicted-util-FF,acutal-util-DSP,predicted-util-DSP,acutal-util-BRAM,predicted-util-BRAM
gemm-blocked,16.0-50.0-1.0-50.0-50.0-1.0-8.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.5369362831115723,0.0,0.08874800056219101,0.0,0.040798649191856384,0.0,0.02944570779800415,0.0,0.009647488594055176
gemm-blocked,4.0-1.0-1.0-1.0-50.0-1.0-2.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.6090869903564453,0.0,0.03329523652791977,0.0,0.03422127664089203,0.0,0.009064018726348877,0.0,0.014964103698730469
gemm-blocked,32.0-1.0-1.0-50.0-50.0-1.0-4.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.508650541305542,0.0,0.03612365573644638,0.0,0.039026543498039246,0.0,-0.024843523278832436,0.0,0.010350346565246582
gemm-blocked,8.0-50.0-1.0-1.0-50.0-1.0-1.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,0.7863907814025879,0.0,0.16259989142417908,0.0,0.06789253652095795,0.0,0.0636640191078186,0.0,0.021679431200027466
gemm-blocked,4.0-1.0-50.0-50.0-100.0-1.0-1.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,1.2908142805099487,0.0,0.09121062606573105,0.0,0.07388268411159515,0.0,0.07176625728607178,0.0,0.029678672552108765
gemm-blocked,64.0-1.0-1.0-1.0-1.0-8.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,1.8091754913330078,0.0,0.0049535855650901794,0.0,-0.002911805408075452,0.0,0.0020483732223510742,0.019999999552965164,0.016975432634353638
gemm-blocked,2.0-1.0-50.0-1.0-100.0-1.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.454512596130371,0.0,-0.017046978697180748,0.0,0.023278698325157166,0.0,-0.004342339467257261,0.0,0.02139723300933838
gemm-blocked,1.0-50.0-50.0-1.0-50.0-1.0-1.0-1.0-4.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,1.8475202322006226,0.0,0.05057849735021591,0.0,0.019400402903556824,0.0,0.01931464672088623,0.0,0.029928505420684814
gemm-blocked,16.0-50.0-1.0-1.0-1.0-2.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.6376423835754395,0.0,0.08974315971136093,0.0,0.0711972564458847,0.0,0.03651106357574463,0.0,0.012174814939498901
gemm-blocked,8.0-1.0-1.0-1.0-100.0-1.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.669499397277832,0.0,0.021128617227077484,0.0,0.029937371611595154,0.0,0.19231724739074707,0.0,0.01373600959777832
gemm-blocked,32.0-50.0-1.0-1.0-100.0-1.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.7376770973205566,0.0,0.0106138214468956,0.0,0.014102265238761902,0.0,0.08982330560684204,0.0,0.01670113205909729
gemm-blocked,8.0-50.0-1.0-50.0-100.0-8.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.6955528259277344,0.0,0.03401603549718857,0.0,0.042338594794273376,0.0,0.32740461826324463,0.0,0.011018335819244385
gemm-blocked,64.0-1.0-50.0-1.0-100.0-1.0-1.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,1.447165608406067,0.0,-0.0359489768743515,0.0,0.02678261697292328,0.0,0.00935816764831543,0.0,0.03467795252799988
gemm-blocked,2.0-50.0-50.0-50.0-100.0-1.0-4.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.6377310752868652,0.0,0.03976234048604965,0.0,0.036923155188560486,0.0,-0.015460372902452946,0.0,0.017056405544281006
gemm-blocked,4.0-50.0-50.0-50.0-100.0-1.0-2.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.8126509189605713,0.0,0.03358408063650131,0.0,0.04518745839595795,0.0,0.010877609252929688,0.0,0.013289302587509155
