ids,valid,predicted-perf,predicted-util-LUT,predicted-util-DSP,predicted-util-FF,predicted-util-BRAM
4255,True,2.978756904602051,0.0397414788603782,0.0235950350761413,0.0202217549085617,0.0166616141796112
4256,True,2.915951728820801,0.0641103014349937,0.0133118629455566,0.0163079351186752,0.0198508501052856
4257,True,2.679133415222168,0.0500874146819114,0.0231041312217712,0.0119732469320297,0.0180666744709014
4258,True,3.538177013397217,2.4994354248046875,2.23663067817688,2.4174787998199463,0.0280776619911193
4259,True,3.794706344604492,0.0514369830489158,0.0120635628700256,0.0247968882322311,0.0438671112060546
4260,True,3.101532220840454,0.0927146300673484,0.0152825713157653,0.0441298335790634,0.0216182470321655
4261,True,1.314482569694519,0.0713989362120628,0.0348228812217712,0.0292148441076278,0.0278684198856353
4262,True,3.4278459548950195,0.1841976344585418,0.0304920673370361,0.1261517852544784,0.0111860632896423
4263,True,1.3395159244537354,0.0779452547430992,0.0413111448287963,0.0292959064245224,0.0284591615200042
4264,True,1.3836878538131714,0.0694676861166954,0.0471256375312805,0.039766177535057,0.0303526818752288
4265,True,3.76036524772644,0.0625603422522544,0.0129306316375732,0.0270095914602279,0.0368694067001342
4266,True,3.428588390350342,0.0687322244048118,0.0319767594337463,0.0326732844114303,0.0274931192398071
4267,True,3.1753594875335693,0.1312313973903656,0.0794258117675781,0.0265086144208908,0.0309670865535736
4268,True,3.7447566986083984,0.0427993163466453,0.0070718526840209,0.039851889014244,0.041443645954132
4269,True,2.828941822052002,0.0464855059981346,0.0151392817497253,0.0332105010747909,0.01658695936203
4270,True,3.064943552017212,0.1457351744174957,0.0292876958847045,0.0625056773424148,0.0239475071430206
4271,True,3.055361747741699,0.0273331031203269,0.010151207447052,0.017886683344841,0.0348585247993469
4272,True,2.597543478012085,0.0445562228560447,0.0166965126991271,0.0096699446439743,0.0065190196037292
4273,True,3.7800815105438232,0.0644340738654136,0.0088772177696228,0.0432340949773788,0.0486803650856018
4274,True,2.5758752822875977,0.0382952913641929,0.0417695641517639,0.0219984501600265,0.0190314054489135
4275,True,2.541724920272827,0.0992722138762474,0.1106241941452026,0.0494148582220077,0.0920146703720092
4276,True,3.037737369537353,0.0382690653204917,0.0137833356857299,0.0175611227750778,0.0308960080146789
4277,True,0.7672001123428345,0.0387304052710533,0.0048896074295043,0.0129621475934982,0.0287924706935882
4278,True,3.2104852199554443,0.0756019577383995,0.0263360738754272,0.0209701508283615,0.0488424897193908
4279,True,1.1913982629776,0.0495034679770469,0.0215802788734436,0.0147968381643295,0.0171267390251159
4280,True,3.369158744812012,0.0704307183623313,0.0193967819213867,0.0263268202543258,0.0311889350414276
4281,True,3.136436462402344,0.0691758021712303,0.0187911391258239,0.0178711265325546,0.0464107692241668
4282,True,2.913148641586304,0.0359945520758628,0.0191395878791809,0.0201281160116195,0.0345856845378875
4283,True,2.716794490814209,0.0370933040976524,0.0325353741645813,0.0256252139806747,0.0327064096927642
4284,True,1.288001298904419,0.0904598459601402,0.04490727186203,0.0060140937566757,0.0181036591529846
