gname,pragma,acutal-perf,predicted-perf,acutal-util-LUT,predicted-util-LUT,acutal-util-FF,predicted-util-FF,acutal-util-DSP,predicted-util-DSP,acutal-util-BRAM,predicted-util-BRAM
gemm-p,2.0-32.0-10.0-1.0-50.0-100.0-4.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.961129665374756,0.0,0.24671414494514465,0.0,0.15947620570659637,0.0,0.24430012702941895,0.0,0.015564829111099243
gemm-p,4.0-16.0-10.0-1.0-1.0-100.0-8.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.899298667907715,0.0,0.24909266829490662,0.0,0.16116826236248016,0.0,0.23219430446624756,0.0,0.016131579875946045
gemm-p,1.0-2.0-1.0-32.0-1.0-1.0-2.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.5906949043273926,0.0,0.009777449071407318,0.0,0.010744437575340271,0.0,0.026226043701171875,0.0,0.04390433430671692
gemm-p,1.0-1.0-16.0-7.0-1.0-50.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.067467212677002,0.20000000298023224,0.2000124156475067,0.10000000149011612,0.10744716227054596,0.20000000298023224,0.17164087295532227,0.019999999552965164,0.02208656072616577
gemm-p,1.0-1.0-16.0-32.0-1.0-1.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,3.5474817752838135,0.0,0.035173200070858,0.0,0.008101329207420349,0.0,0.029176294803619385,0.0,0.021860986948013306
gemm-p,1.0-2.0-20.0-1.0-1.0-100.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,3.6748874187469482,0.0,0.23854133486747742,0.0,0.007077738642692566,0.0,0.08869332075119019,0.0,0.015108436346054077
gemm-p,1.0-1.0-4.0-1.0-1.0-1.0-1.0-4.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,1.6916331052780151,0.0,0.005854688584804535,0.0,0.01898150146007538,0.0,0.015422224998474121,0.0,0.015756607055664062
gemm-p,1.0-1.0-2.0-7.0-1.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,3.345308303833008,0.029999999329447746,0.024751149117946625,0.009999999776482582,0.006849035620689392,0.019999999552965164,0.02136087417602539,0.019999999552965164,0.020878374576568604
gemm-p,1.0-4.0-20.0-1.0-1.0-100.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.859529972076416,0.0,0.3676452338695526,0.0,0.2461174577474594,0.0,0.35114461183547974,0.0,0.018604367971420288
gemm-p,1.0-1.0-1.0-1.0-1.0-100.0-1.0-80.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.034183502197266,0.029999999329447746,0.0306679829955101,0.009999999776482582,0.020298942923545837,0.019999999552965164,0.03827929496765137,0.05000000074505806,0.0518774688243866
gemm-p,1.0-32.0-20.0-32.0-1.0-1.0-60.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.757107257843018,0.0,0.1135268434882164,0.0,0.04480533301830292,0.0,0.1545594334602356,0.0,0.04199504852294922
gemm-p,1.0-32.0-10.0-32.0-1.0-1.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,3.9353532791137695,0.0,0.05403705686330795,0.0,0.10683049261569977,0.0,0.06569868326187134,0.0,0.027142047882080078
gemm-p,10.0-16.0-16.0-1.0-1.0-100.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.9197916984558105,0.3499999940395355,0.35813799500465393,0.23999999463558197,0.25663918256759644,0.36000001430511475,0.3756064772605896,0.009999999776482582,0.013677924871444702
gemm-p,6.0-32.0-16.0-1.0-1.0-100.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,3.448335886001587,0.0,0.3158152103424072,0.0,0.06313817203044891,0.0,0.13398581743240356,0.0,0.01178199052810669
gemm-p,1.0-1.0-80.0-32.0-1.0-50.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.5818428993225098,0.0,0.02104630321264267,0.0,0.020368143916130066,0.0,0.03504312038421631,0.0,0.04235103726387024
gemm-p,1.0-1.0-8.0-5.0-1.0-50.0-1.0-2.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.9590587615966797,0.0,0.04309024661779404,0.0,0.033669933676719666,0.0,0.0194166898727417,0.0,0.021697044372558594
gemm-p,1.0-1.0-4.0-7.0-1.0-50.0-1.0-4.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,2.787865400314331,0.0,0.044922493398189545,0.0,0.02383945882320404,0.0,0.02296125888824463,0.0,0.021947503089904785
gemm-p,1.0-32.0-16.0-1.0-1.0-100.0-1.0-1.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,4.992749214172363,0.33000001311302185,0.34784793853759766,0.23999999463558197,0.24794404208660126,0.36000001430511475,0.3698940873146057,0.009999999776482582,0.014170080423355103
gemm-p,2.0-32.0-10.0-1.0-1.0-100.0-1.0-8.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0-0.0,11.626748085021973,5.036509037017822,0.23000000417232513,0.23901298642158508,0.1599999964237213,0.1665831059217453,0.2199999988079071,0.247641921043396,0.009999999776482582,0.013468801975250244
